date,county,state,fips,cases,deaths
3/8/21,Alamance,North Carolina,37001,16003,231
3/8/21,Alexander,North Carolina,37003,3957,76
3/8/21,Alleghany,North Carolina,37005,930,5
3/8/21,Anson,North Carolina,37007,2338,53
3/8/21,Ashe,North Carolina,37009,1899,40
3/8/21,Avery,North Carolina,37011,1857,20
3/8/21,Beaufort,North Carolina,37013,4296,83
3/8/21,Bertie,North Carolina,37015,1667,41
3/8/21,Bladen,North Carolina,37017,2987,41
3/8/21,Brunswick,North Carolina,37019,8161,137
3/8/21,Buncombe,North Carolina,37021,15803,303
3/8/21,Burke,North Carolina,37023,9304,142
3/8/21,Cabarrus,North Carolina,37025,18801,237
3/8/21,Caldwell,North Carolina,37027,8735,87
3/8/21,Camden,North Carolina,37029,596,5
3/8/21,Carteret,North Carolina,37031,4486,44
3/8/21,Caswell,North Carolina,37033,2001,24
3/8/21,Catawba,North Carolina,37035,17648,286
3/8/21,Chatham,North Carolina,37037,4182,79
3/8/21,Cherokee,North Carolina,37039,2139,19
3/8/21,Chowan,North Carolina,37041,1383,22
3/8/21,Clay,North Carolina,37043,663,18
3/8/21,Cleveland,North Carolina,37045,10463,218
3/8/21,Columbus,North Carolina,37047,5946,147
3/8/21,Craven,North Carolina,37049,8452,115
3/8/21,Cumberland,North Carolina,37051,24578,281
3/8/21,Currituck,North Carolina,37053,1404,15
3/8/21,Dare,North Carolina,37055,1875,8
3/8/21,Davidson,North Carolina,37057,14783,168
3/8/21,Davie,North Carolina,37059,3597,32
3/8/21,Duplin,North Carolina,37061,5783,128
3/8/21,Durham,North Carolina,37063,22429,212
3/8/21,Edgecombe,North Carolina,37065,4751,100
3/8/21,Forsyth,North Carolina,37067,32311,349
3/8/21,Franklin,North Carolina,37069,5552,45
3/8/21,Gaston,North Carolina,37071,24029,379
3/8/21,Gates,North Carolina,37073,680,12
3/8/21,Graham,North Carolina,37075,567,12
3/8/21,Granville,North Carolina,37077,5324,76
3/8/21,Greene,North Carolina,37079,2147,42
3/8/21,Guilford,North Carolina,37081,40605,559
3/8/21,Halifax,North Carolina,37083,5042,100
3/8/21,Harnett,North Carolina,37085,9895,155
3/8/21,Haywood,North Carolina,37087,3903,88
3/8/21,Henderson,North Carolina,37089,9027,150
3/8/21,Hertford,North Carolina,37091,1966,61
3/8/21,Hoke,North Carolina,37093,4183,54
3/8/21,Hyde,North Carolina,37095,629,8
3/8/21,Iredell,North Carolina,37097,16684,196
3/8/21,Jackson,North Carolina,37099,3378,55
3/8/21,Johnston,North Carolina,37101,18280,201
3/8/21,Jones,North Carolina,37103,739,16
3/8/21,Lee,North Carolina,37105,5512,73
3/8/21,Lenoir,North Carolina,37107,5510,107
3/8/21,Lincoln,North Carolina,37109,8929,72
3/8/21,Macon,North Carolina,37113,2593,31
3/8/21,Madison,North Carolina,37115,1377,40
3/8/21,Martin,North Carolina,37117,2094,37
3/8/21,McDowell,North Carolina,37111,4902,61
3/8/21,Mecklenburg,North Carolina,37119,98216,888
3/8/21,Mitchell,North Carolina,37121,1251,16
3/8/21,Montgomery,North Carolina,37123,3107,88
3/8/21,Moore,North Carolina,37125,8095,182
3/8/21,Nash,North Carolina,37127,9922,172
3/8/21,New Hanover,North Carolina,37129,16509,152
3/8/21,Northampton,North Carolina,37131,1731,33
3/8/21,Onslow,North Carolina,37133,14866,135
3/8/21,Orange,North Carolina,37135,7838,96
3/8/21,Pamlico,North Carolina,37137,975,10
3/8/21,Pasquotank,North Carolina,37139,3104,78
3/8/21,Pender,North Carolina,37141,4796,60
3/8/21,Perquimans,North Carolina,37143,926,9
3/8/21,Person,North Carolina,37145,3058,64
3/8/21,Pitt,North Carolina,37147,17735,83
3/8/21,Polk,North Carolina,37149,1366,27
3/8/21,Randolph,North Carolina,37151,13540,205
3/8/21,Richmond,North Carolina,37153,4257,91
3/8/21,Robeson,North Carolina,37155,15365,212
3/8/21,Rockingham,North Carolina,37157,6912,61
3/8/21,Rowan,North Carolina,37159,15089,291
3/8/21,Rutherford,North Carolina,37161,6796,200
3/8/21,Sampson,North Carolina,37163,6963,92
3/8/21,Scotland,North Carolina,37165,3515,77
3/8/21,Stanly,North Carolina,37167,6936,111
3/8/21,Stokes,North Carolina,37169,3698,74
3/8/21,Surry,North Carolina,37171,7455,140
3/8/21,Swain,North Carolina,37173,1171,16
3/8/21,Transylvania,North Carolina,37175,1957,27
3/8/21,Tyrrell,North Carolina,37177,305,6
3/8/21,Union,North Carolina,37179,21100,202
3/8/21,Vance,North Carolina,37181,4424,82
3/8/21,Wake,North Carolina,37183,79699,550
3/8/21,Warren,North Carolina,37185,1623,18
3/8/21,Washington,North Carolina,37187,999,31
3/8/21,Watauga,North Carolina,37189,4048,30
3/8/21,Wayne,North Carolina,37191,10356,225
3/8/21,Wilkes,North Carolina,37193,6079,104
3/8/21,Wilson,North Carolina,37195,8586,150
3/8/21,Yadkin,North Carolina,37197,3692,46
3/8/21,Yancey,North Carolina,37199,1464,26